Stopping time, Frequency
0,1
1,1
2,1
3,1
4,1
5,2
6,2
7,4
8,4
9,7
10,6
11,8
12,10
13,14
14,19
15,25
16,33
17,38
18,51
19,59
20,75
21,96
22,118
23,136
24,175
25,219
26,253
27,323
28,321
29,427
30,569
31,519
32,709
33,634
34,843
35,1166
36,911
37,1298
38,1822
39,1372
40,1967
41,1337
42,1988
43,2931
44,1903
45,2870
46,2135
47,2677
48,4097
49,2334
50,3704
51,4821
52,3176
53,5111
54,2605
55,4296
56,6992
57,3439
58,5785
59,3099
60,4585
61,7815
62,3526
63,6125
64,8301
65,4647
66,8148
67,3420
68,6098
69,10722
70,4454
71,8062
72,3140
73,5757
74,10528
75,4037
76,7561
77,9342
78,5290
79,9914
80,3636
81,6945
82,11687
83,4763
84,9152
85,3168
86,6188
87,11990
88,4131
89,8125
90,6406
91,5413
92,10607
93,3431
94,6954
95,12287
96,4542
97,9188
98,2933
99,5947
100,11906
101,3876
102,7897
103,2441
104,5033
105,10266
106,3183
107,6618
108,9437
109,4255
110,8782
111,2712
112,5613
113,11196
114,3561
115,7410
116,2280
117,4742
118,9837
119,3042
120,6359
121,7596
122,4011
123,8303
124,2604
125,5358
126,10500
127,3490
128,7228
129,2337
130,4709
131,9667
132,3160
133,6410
134,2127
135,4248
136,8642
137,2875
138,5722
139,9795
140,3819
141,7704
142,2620
143,5169
144,10261
145,3504
146,6919
147,2365
148,4662
149,9343
150,3130
151,6203
152,7097
153,4107
154,8229
155,2688
156,5486
157,10717
158,3607
159,7316
160,2332
161,4779
162,9633
163,3049
164,6259
165,2545
166,4095
167,8349
168,2601
169,5417
170,10735
171,3398
172,7096
173,2098
174,4488
175,9312
176,2754
177,5911
178,1717
179,3662
180,7786
181,2267
182,4869
183,7378
184,2997
185,6399
186,1806
187,3953
188,8340
189,2398
190,5174
191,1408
192,3114
193,6844
194,1867
195,4140
196,1617
197,2486
198,5558
199,1489
200,3364
201,7244
202,1936
203,4426
204,1068
205,2547
206,5779
207,1459
208,3403
209,803
210,1921
211,4490
212,1041
213,2534
214,5411
215,1421
216,3392
217,751
218,1865
219,4426
220,1013
221,2499
222,540
223,1360
224,3339
225,741
226,1834
227,951
228,969
229,2436
230,497
231,1329
232,3273
233,700
234,1832
235,365
236,950
237,2467
238,505
239,1321
240,248
241,690
242,1799
243,362
244,963
245,2366
246,538
247,1359
248,278
249,731
250,1871
251,389
252,1001
253,194
254,535
255,1368
256,286
257,752
258,717
259,385
260,1028
261,191
262,549
263,1395
264,291
265,784
266,142
267,406
268,1067
269,207
270,566
271,101
272,307
273,801
274,165
275,423
276,1043
277,222
278,573
279,105
280,297
281,819
282,145
283,421
284,66
285,205
286,575
287,95
288,283
289,476
290,137
291,402
292,59
293,191
294,553
295,81
296,263
297,40
298,131
299,390
300,67
301,208
302,36
303,103
304,298
305,56
306,161
307,413
308,80
309,236
310,42
311,118
312,337
313,55
314,159
315,24
316,79
317,234
318,32
319,111
320,230
321,51
322,143
323,23
324,66
325,209
326,35
327,100
328,20
329,52
330,153
331,25
332,68
333,32
334,37
335,102
336,14
337,47
338,152
339,18
340,66
341,11
342,37
343,106
344,15
345,48
346,4
347,22
348,73
349,8
350,31
351,100
352,17
353,51
354,7
355,21
356,69
357,8
358,36
359,2
360,15
361,51
362,2
363,16
364,12
365,6
366,23
367,4
368,15
369,48
370,8
371,23
372,2
373,9
374,33
375,2
376,11
378,5
379,26
380,1
381,10
382,37
383,3
384,15
385,1
386,8
387,24
388,3
389,7
391,2
392,11
394,3
395,6
397,3
399,1
400,9
402,3
404,2
405,8
406,2
407,5
409,1
410,6
412,2
413,9
415,3
417,1
418,5
420,2
422,1
423,5
425,2
426,3
428,1
431,3
433,1
435,1
436,4
438,1
439,1
440,1
441,3
442,1
443,2
444,6
446,1
448,1
449,3
451,1
457,1
467,2
469,1
475,2
503,1
506,1
508,1
524,1